juego_id,TEMPORADA,Zona,Q,P,lnQ,lnP
127404,22-23,Platea Cabecera 2,90,128.0,4.499809670330265,4.852030263919617
127404,22-23,Preferente,96,525.0,4.564348191467836,6.263398262591624
127404,22-23,Preferente Cabecera,54,390.0,3.9889840465642745,5.966146739123692
127404,22-23,Preferente Central,234,525.0,5.455321115357702,6.263398262591624
127404,22-23,Preferente Tunel,51,525.0,3.9318256327243257,6.263398262591624
127404,22-23,Zona Boing,66,300.0,4.189654742026425,5.703782474656201
127404,22-23,Zona Elektra,53,300.0,3.970291913552122,5.703782474656201
127404,22-23,Zona Mercado libre,15,300.0,2.70805020110221,5.703782474656201
127404,22-23,Zona Pepsi,68,300.0,4.219507705176107,5.703782474656201
127404,22-23,Zona Sabritas,51,170.0,3.9318256327243257,5.135798437050262
127404,22-23,Zona Toyota,8,300.0,2.0794415416798357,5.703782474656201
127404,22-23,Zona Zapata,66,300.0,4.189654742026425,5.703782474656201
127405,22-23,Cancha 1,31,1550.0,3.4339872044851463,7.346010209913293
127405,22-23,Cancha 2,32,1400.0,3.4657359027997265,7.24422751560335
127405,22-23,Cancha 3,8,1200.0,2.0794415416798357,7.090076835776092
127405,22-23,Platea 2,82,300.0,4.406719247264253,5.703782474656201
127405,22-23,Platea Cabecera,69,200.0,4.23410650459726,5.298317366548036
127405,22-23,Platea Cabecera 2,83,150.0,4.418840607796598,5.0106352940962555
127405,22-23,Preferente,34,600.0,3.5263605246161616,6.396929655216146
127405,22-23,Preferente Cabecera,44,450.0,3.784189633918261,6.1092475827643655
127405,22-23,Preferente Central,166,600.0,5.111987788356544,6.396929655216146
127405,22-23,Preferente Tunel,22,600.0,3.091042453358316,6.396929655216146
127405,22-23,Zona Boing,58,350.0,4.060443010546419,5.857933154483459
127405,22-23,Zona Elektra,5,350.0,1.6094379124341003,5.857933154483459
127405,22-23,Zona Mercado libre,47,350.0,3.8501476017100584,5.857933154483459
127405,22-23,Zona Pepsi,68,350.0,4.219507705176107,5.857933154483459
127405,22-23,Zona Sabritas,30,200.0,3.4011973816621555,5.298317366548036
127405,22-23,Zona Toyota,29,350.0,3.367295829986474,5.857933154483459
127405,22-23,Zona Zapata,13,350.0,2.5649493574615367,5.857933154483459
127406,22-23,Cancha 1,28,1550.0,3.332204510175204,7.346010209913293
127406,22-23,Cancha 2,43,1400.0,3.7612001156935624,7.24422751560335
127406,22-23,Cancha 3,41,1200.0,3.713572066704308,7.090076835776092
127406,22-23,Cancha Vip 2,19,1400.0,2.9444389791664403,7.24422751560335
127406,22-23,Front Row Vip,13,1550.0,2.5649493574615367,7.346010209913293
127406,22-23,Platea 2,83,300.0,4.418840607796598,5.703782474656201
127406,22-23,Platea Cabecera,72,200.0,4.276666119016055,5.298317366548036
127406,22-23,Platea Cabecera 2,99,150.0,4.59511985013459,5.0106352940962555
127406,22-23,Preferente,98,600.0,4.584967478670572,6.396929655216146
127406,22-23,Preferente Cabecera,81,450.0,4.394449154672439,6.1092475827643655
127406,22-23,Preferente Central,231,600.0,5.442417710521793,6.396929655216146
127406,22-23,Preferente Tunel,64,600.0,4.1588830833596715,6.396929655216146
127406,22-23,Zona Boing,52,350.0,3.9512437185814275,5.857933154483459
127406,22-23,Zona Elektra,9,350.0,2.1972245773362196,5.857933154483459
127406,22-23,Zona Mercado libre,66,350.0,4.189654742026425,5.857933154483459
127406,22-23,Zona Pepsi,64,350.0,4.1588830833596715,5.857933154483459
127406,22-23,Zona Sabritas,53,200.0,3.970291913552122,5.298317366548036
127406,22-23,Zona Toyota,43,350.0,3.7612001156935624,5.857933154483459
127406,22-23,Zona Zapata,18,350.0,2.8903717578961645,5.857933154483459
127407,22-23,Banco Azteca,15,200.0,2.70805020110221,5.298317366548036
127407,22-23,Cancha 1,36,1550.0,3.58351893845611,7.346010209913293
127407,22-23,Cancha 2,52,1400.0,3.9512437185814275,7.24422751560335
127407,22-23,Cancha 3,64,1200.0,4.1588830833596715,7.090076835776092
127407,22-23,Platea 2,82,300.0,4.406719247264253,5.703782474656201
127407,22-23,Platea Cabecera,123,200.0,4.812184355372417,5.298317366548036
127407,22-23,Platea Cabecera 2,141,150.0,4.948759890378168,5.0106352940962555
127407,22-23,Preferente,95,600.0,4.553876891600541,6.396929655216146
127407,22-23,Preferente Cabecera,120,450.0,4.787491742782046,6.1092475827643655
127407,22-23,Preferente Central,181,600.0,5.198497031265826,6.396929655216146
127407,22-23,Preferente Fondo,7,450.0,1.9459101490553132,6.1092475827643655
127407,22-23,Preferente Tunel,167,600.0,5.117993812416755,6.396929655216146
127407,22-23,Zona Boing,51,350.0,3.9318256327243257,5.857933154483459
127407,22-23,Zona Elektra,72,350.0,4.276666119016055,5.857933154483459
127407,22-23,Zona Mercado libre,15,350.0,2.70805020110221,5.857933154483459
127407,22-23,Zona Pepsi,74,350.0,4.30406509320417,5.857933154483459
127407,22-23,Zona Sabritas,57,200.0,4.04305126783455,5.298317366548036
127407,22-23,Zona Toyota,5,350.0,1.6094379124341003,5.857933154483459
127407,22-23,Zona Zapata,75,350.0,4.31748811353631,5.857933154483459
127408,22-23,Cancha 1,40,1550.0,3.6888794541139363,7.346010209913293
127408,22-23,Cancha 2,54,1400.0,3.9889840465642745,7.24422751560335
127408,22-23,Cancha 3,42,1200.0,3.7376696182833684,7.090076835776092
127408,22-23,Cancha Vip 2,13,1400.0,2.5649493574615367,7.24422751560335
127408,22-23,Front Row Vip,10,1550.0,2.302585092994046,7.346010209913293
127408,22-23,Platea 2,233,300.0,5.4510384535657,5.703782474656201
127408,22-23,Platea Cabecera 2,168,150.0,5.123963979403259,5.0106352940962555
127408,22-23,Preferente,58,600.0,4.060443010546419,6.396929655216146
127408,22-23,Preferente Cabecera,111,450.0,4.709530201312334,6.1092475827643655
127408,22-23,Preferente Central,208,600.0,5.337538079701318,6.396929655216146
127408,22-23,Preferente Fondo,46,450.0,3.828641396489095,6.1092475827643655
127408,22-23,Preferente Tunel,145,600.0,4.976733742420574,6.396929655216146
127408,22-23,Zona Boing,30,350.0,3.4011973816621555,5.857933154483459
127408,22-23,Zona Elektra,77,350.0,4.343805421853684,5.857933154483459
127408,22-23,Zona Mercado libre,36,350.0,3.58351893845611,5.857933154483459
127408,22-23,Zona Pepsi,67,350.0,4.204692619390966,5.857933154483459
127408,22-23,Zona Toyota,29,350.0,3.367295829986474,5.857933154483459
127409,22-23,Cancha 1,33,1550.0,3.4965075614664802,7.346010209913293
127409,22-23,Cancha 2,54,1400.0,3.9889840465642745,7.24422751560335
127409,22-23,Cancha 3,51,1200.0,3.9318256327243257,7.090076835776092
127409,22-23,Cancha Vip 2,16,1400.0,2.772588722239781,7.24422751560335
127409,22-23,Front Row Vip,9,1550.0,2.1972245773362196,7.346010209913293
127409,22-23,McCormick,43,200.0,3.7612001156935624,5.298317366548036
127409,22-23,Platea 2,158,300.0,5.062595033026967,5.703782474656201
127409,22-23,Platea Cabecera,49,200.0,3.8918202981106265,5.298317366548036
127409,22-23,Platea Cabecera 2,55,150.0,4.007333185232471,5.0106352940962555
127409,22-23,Preferente,132,600.0,4.882801922586371,6.396929655216146
127409,22-23,Preferente Cabecera,86,450.0,4.454347296253507,6.1092475827643655
127409,22-23,Preferente Central,223,600.0,5.407171771460119,6.396929655216146
127409,22-23,Preferente Tunel,126,600.0,4.836281906951478,6.396929655216146
127409,22-23,Zona Boing,30,350.0,3.4011973816621555,5.857933154483459
127409,22-23,Zona Elektra,75,350.0,4.31748811353631,5.857933154483459
127409,22-23,Zona Mercado libre,69,350.0,4.23410650459726,5.857933154483459
127409,22-23,Zona Miniso,5,200.0,1.6094379124341003,5.298317366548036
127409,22-23,Zona Pepsi,70,350.0,4.248495242049359,5.857933154483459
127409,22-23,Zona Toyota,40,350.0,3.6888794541139363,5.857933154483459
127409,22-23,Zona Zapata,9,350.0,2.1972245773362196,5.857933154483459
127410,22-23,Banco Azteca,15,170.0,2.70805020110221,5.135798437050262
127410,22-23,Barrera Cabecera,102,85.0,4.624972813284271,4.442651256490317
127410,22-23,Barrera Central,265,125.0,5.579729825986222,4.8283137373023015
127410,22-23,Butaca Central,115,125.0,4.74493212836325,4.8283137373023015
127410,22-23,Cancha 1,18,1325.0,2.8903717578961645,7.1891677384203225
127410,22-23,Cancha 2,51,1200.0,3.9318256327243257,7.090076835776092
127410,22-23,Cancha 3,64,1025.0,4.1588830833596715,6.932447891572509
127410,22-23,Cancha Vip 2,19,1200.0,2.9444389791664403,7.090076835776092
127410,22-23,Cancha Vip 3,9,1025.0,2.1972245773362196,6.932447891572509
127410,22-23,Front Row Vip,12,1325.0,2.4849066497880004,7.1891677384203225
127410,22-23,McCormick,85,170.0,4.442651256490317,5.135798437050262
127410,22-23,Platea 2,221,255.0,5.3981627015177525,5.541263545158426
127410,22-23,Platea Cabecera,230,170.0,5.438079308923196,5.135798437050262
127410,22-23,Platea Cabecera 2,315,128.0,5.752572638825633,4.852030263919617
127410,22-23,Preferente,118,525.0,4.770684624465665,6.263398262591624
127410,22-23,Preferente Cabecera,170,390.0,5.135798437050262,5.966146739123692
127410,22-23,Preferente Central,169,525.0,5.1298987149230735,6.263398262591624
127410,22-23,Preferente Fondo,60,390.0,4.0943445622221,5.966146739123692
127410,22-23,Preferente Tunel,216,525.0,5.375278407684165,6.263398262591624
127410,22-23,Zona Boing,46,300.0,3.828641396489095,5.703782474656201
127410,22-23,Zona Elektra,68,300.0,4.219507705176107,5.703782474656201
127410,22-23,Zona Mercado libre,44,300.0,3.784189633918261,5.703782474656201
127410,22-23,Zona Miniso,65,170.0,4.174387269895637,5.135798437050262
127410,22-23,Zona Pepsi,72,300.0,4.276666119016055,5.703782474656201
127410,22-23,Zona Sabritas,64,170.0,4.1588830833596715,5.135798437050262
127410,22-23,Zona Toyota,47,300.0,3.8501476017100584,5.703782474656201
127410,22-23,Zona Zapata,66,300.0,4.189654742026425,5.703782474656201
127411,22-23,Banco Azteca,66,200.0,4.189654742026425,5.298317366548036
127411,22-23,Cancha 1,6,1550.0,1.791759469228055,7.346010209913293
127411,22-23,Cancha 2,30,1400.0,3.4011973816621555,7.24422751560335
127411,22-23,Cancha 3,59,1200.0,4.07753744390572,7.090076835776092
127411,22-23,Cancha Vip 2,16,1400.0,2.772588722239781,7.24422751560335
127411,22-23,Front Row Vip,9,1550.0,2.1972245773362196,7.346010209913293
127411,22-23,McCormick,38,200.0,3.6375861597263857,5.298317366548036
127411,22-23,Platea 2,282,300.0,5.641907070938114,5.703782474656201
127411,22-23,Platea Cabecera,177,200.0,5.176149732573829,5.298317366548036
127411,22-23,Platea Cabecera 2,181,150.0,5.198497031265826,5.0106352940962555
127411,22-23,Preferente,81,600.0,4.394449154672439,6.396929655216146
127411,22-23,Preferente Cabecera,48,450.0,3.871201010907891,6.1092475827643655
127411,22-23,Preferente Central,154,600.0,5.0369526024136295,6.396929655216146
127411,22-23,Preferente Fondo,38,450.0,3.6375861597263857,6.1092475827643655
127411,22-23,Preferente Tunel,140,600.0,4.941642422609304,6.396929655216146
127411,22-23,Zona Boing,48,350.0,3.871201010907891,5.857933154483459
127411,22-23,Zona Elektra,21,350.0,3.044522437723423,5.857933154483459
127411,22-23,Zona Mercado libre,64,350.0,4.1588830833596715,5.857933154483459
127411,22-23,Zona Miniso,12,200.0,2.4849066497880004,5.298317366548036
127411,22-23,Zona Pepsi,18,350.0,2.8903717578961645,5.857933154483459
127411,22-23,Zona Toyota,44,350.0,3.784189633918261,5.857933154483459
127411,22-23,Zona Zapata,41,350.0,3.713572066704308,5.857933154483459
127412,22-23,Banco Azteca,45,170.0,3.8066624897703196,5.135798437050262
127412,22-23,Cancha 1,23,1325.0,3.1354942159291497,7.1891677384203225
127412,22-23,Cancha 2,41,960.0,3.713572066704308,6.866933284461882
127412,22-23,Cancha 3,26,512.0,3.258096538021482,6.238324625039508
127412,22-23,Front Row Vip,7,662.0,1.9459101490553132,6.495265555937008
127412,22-23,Platea 2,115,127.0,4.74493212836325,4.844187086458591
127412,22-23,Platea Cabecera 2,55,102.0,4.007333185232471,4.624972813284271
127412,22-23,Preferente,70,262.0,4.248495242049359,5.568344503761097
127412,22-23,Preferente Cabecera,22,292.5,3.091042453358316,5.678464666671911
127412,22-23,Preferente Central,139,525.0,4.9344739331306915,6.263398262591624
127412,22-23,Preferente Tunel,26,262.0,3.258096538021482,5.568344503761097
